Month,Region,ProductCategory,MarketingSpend,Sales,Profit,CustomerSatisfaction
2021-08,East,Furniture,62498,69749,-34748,68.95
2021-04,South,Food,15243,34193,1362,71.42
2021-12,East,Electronics,55850,90919,-15842,72.12
2021-03,West,Furniture,61780,72254,-33682,69.79
2021-08,East,Electronics,33538,81431,-1423,72.5
2021-03,West,Furniture,53184,73178,-23164,67.51
2021-01,West,Furniture,51162,62649,-24212,73.53
2021-01,North,Furniture,43492,77270,-12180,74.9
2021-05,West,Food,48038,41164,-23724,66.35
2021-06,East,Food,49456,37334,-34232,60.22
2021-06,East,Electronics,19243,75597,12005,63.37
2021-07,North,Electronics,61107,108418,-19925,69.01
2021-09,West,Furniture,48786,60203,-20806,64.71
2021-05,East,Furniture,38481,67361,-12582,68.68
2021-02,South,Electronics,66080,82255,-37530,67.85
2021-05,North,Electronics,55033,111065,-9384,70.62
2021-10,West,Furniture,59915,67889,-30984,66.08
2021-11,South,Furniture,24475,54811,266,62.08
2021-11,East,Furniture,46025,75718,-16393,63.58
2021-09,South,Furniture,30158,57768,-3396,61.6
2021-02,South,Electronics,54912,91161,-17635,61.97
2021-02,North,Clothing,51116,58316,-27591,66.97
2021-08,South,Electronics,50616,79851,-19755,62.25
2021-10,South,Electronics,68894,72770,-41348,57.01
2021-10,West,Clothing,63374,45498,-46890,65.47
2021-04,South,Clothing,57584,43726,-39217,66.26
2021-07,West,Food,39748,36629,-22399,63.84
2021-08,East,Food,36852,37571,-23839,57.17
2021-12,North,Electronics,49915,106469,942,81.77
2021-03,South,Electronics,71998,88166,-43442,74.98
2021-12,South,Clothing,39113,41891,-29310,67.63
2021-01,West,Clothing,24007,45709,-9646,73.27
2021-04,West,Food,60499,36275,-43970,71.5
2021-06,North,Food,50480,51496,-32198,61.94
2021-10,South,Clothing,53169,39677,-41592,56.51
2021-11,East,Electronics,51310,77442,-17466,70.09
2021-05,North,Furniture,59757,85363,-26301,70.92
2021-12,South,Clothing,40719,46276,-17813,71.43
2021-05,East,Furniture,51337,78435,-18321,67.96
2021-07,South,Furniture,53662,65320,-26845,70.91
2021-05,East,Electronics,37329,83717,2840,65.96
2021-05,South,Electronics,36461,89238,528,80.35
2021-04,West,Furniture,62251,81126,-33929,68.85
2021-05,East,Food,60379,54373,-40442,61.74
2021-05,West,Electronics,31170,81726,-3306,68.01
2021-09,South,Food,68775,35144,-56395,64.47
2021-05,East,Clothing,36773,44184,-19711,73.65
2021-04,West,Clothing,72349,57160,-50521,65.0
2021-11,East,Furniture,57366,73993,-29263,67.97
2021-08,East,Furniture,51353,62433,-31182,72.88
2021-06,East,Clothing,49221,50502,-30146,61.72
2021-06,North,Clothing,66913,70317,-37957,68.41
2021-01,West,Furniture,50600,63129,-26073,69.1
2021-02,East,Clothing,31490,48693,-11948,65.19
2021-06,East,Electronics,39046,90217,-2824,77.48
2021-10,West,Electronics,12843,75308,14264,69.03
2021-04,East,Food,51294,43342,-35956,65.26
2021-01,East,Food,69228,42581,-56734,67.6
2021-06,North,Furniture,42944,80633,-10064,69.18
2021-01,South,Electronics,34656,83183,-1606,65.68
2021-02,North,Furniture,67460,72037,-34017,58.41
2021-03,West,Food,42088,40490,-24331,70.34
2021-05,East,Electronics,76840,103449,-35729,64.36
2021-03,North,Electronics,59286,100504,-20006,64.56
2021-01,North,Food,33521,38016,-18445,62.03
2021-04,East,Furniture,58814,78216,-25853,71.19
2021-03,West,Food,71502,46410,-56091,59.71
2021-11,South,Food,34434,27992,-25443,66.87
2021-01,West,Clothing,49821,44354,-33833,71.62
2021-08,East,Furniture,49335,71048,-18798,68.0
2021-06,East,Furniture,72492,75562,-40122,66.7
2021-10,South,Clothing,49847,41741,-34279,70.37
2021-01,South,Electronics,58059,82504,-25856,74.97
2021-11,East,Food,47290,44838,-26419,76.51
2021-03,West,Food,44730,41207,-23965,72.93
2021-12,South,Furniture,45748,64448,-21168,61.0
2021-11,East,Furniture,60311,70240,-29315,59.51
2021-08,South,Furniture,49171,63230,-21557,56.23
2021-12,West,Electronics,56966,87167,-23148,65.31
2021-03,East,Electronics,68291,95112,-28432,70.07
2021-10,West,Food,41607,34558,-20203,65.28
2021-03,North,Clothing,38003,52335,-16370,63.72
2021-04,South,Furniture,49070,66876,-15464,73.63
2021-12,South,Clothing,57179,36851,-40281,63.67
2021-04,East,Food,58127,47323,-40103,73.72
2021-03,East,Food,45857,43374,-26722,70.09
2021-04,North,Clothing,50126,60847,-23482,71.19
2021-05,East,Furniture,56269,70456,-23804,70.34
2021-02,South,Food,39246,33209,-23720,66.91
2021-03,West,Food,74769,46027,-49693,71.56
2021-12,East,Furniture,61249,84295,-26332,63.14
2021-10,North,Food,70103,47430,-52220,63.88
2021-11,West,Food,28390,32493,-21065,72.78
2021-02,South,Clothing,20382,40134,-2546,72.45
2021-05,East,Electronics,27606,86333,5404,66.98
2021-11,North,Food,43397,46728,-30157,59.56
2021-07,East,Food,48801,35886,-25364,61.26
2021-12,South,Clothing,34518,43268,-16635,71.33
2021-09,East,Electronics,61228,84762,-24264,62.13
2021-12,South,Electronics,88245,86279,-54569,70.92
2021-03,North,Clothing,41177,57245,-13177,63.84
2021-04,North,Food,59189,55323,-33767,62.83
2021-01,South,Furniture,47147,50500,-25903,73.7
2021-01,North,Clothing,83738,75722,-51186,67.8
2021-07,East,Clothing,70846,57608,-45756,62.23
2021-01,North,Electronics,42331,89956,-4458,61.49
2021-07,West,Clothing,44782,46913,-28899,72.49
2021-04,South,Furniture,53257,72094,-24443,65.04
2021-11,East,Clothing,27358,46258,-7350,69.09
2021-04,North,Clothing,54516,52062,-34990,67.58
2021-09,East,Electronics,55637,80401,-27516,64.63
2021-09,West,Furniture,39779,66699,-14982,67.56
2021-09,North,Furniture,60810,75485,-31736,68.71
2021-03,North,Food,75367,48796,-56357,64.4
2021-04,South,Electronics,48972,84787,-18007,66.39
2021-03,North,Furniture,43001,77694,-8613,71.43
2021-12,South,Furniture,58770,55170,-38098,68.38
2021-01,North,Clothing,61927,57602,-35760,73.18
2021-09,East,Food,55412,48414,-37914,63.46
2021-09,West,Electronics,42763,69814,-15876,70.75
2021-04,West,Furniture,44784,61323,-19714,73.67
2021-09,North,Food,31001,38913,-13921,68.39
2021-11,East,Electronics,38501,85832,-9516,74.41
2021-03,South,Clothing,53085,46571,-29547,61.66
2021-09,West,Furniture,40874,61029,-12377,62.86
2021-05,West,Food,45152,54786,-18786,61.55
2021-04,North,Electronics,25770,101854,17885,78.51
2021-01,East,Furniture,56505,67956,-29934,65.75
2021-05,North,Electronics,46730,100037,-4331,68.92
2021-04,East,Clothing,65349,63676,-38275,72.7
2021-12,North,Clothing,47987,53732,-26644,68.71
2021-07,West,Food,50700,36741,-39231,66.71
2021-10,East,Food,41073,38613,-25945,57.57
2021-12,East,Furniture,20754,61934,-878,76.96
2021-09,North,Food,42049,45375,-28278,59.98
2021-01,North,Furniture,34094,75091,-4315,73.9
2021-09,East,Electronics,36372,78945,-5132,62.97
2021-06,South,Furniture,49475,58718,-24796,75.84
2021-10,West,Clothing,28604,43636,-7732,76.52
2021-01,South,Clothing,30461,43683,-16042,68.97
2021-10,South,Food,32138,26807,-20415,72.66
2021-07,South,Clothing,47441,46294,-26893,58.47
2021-06,North,Furniture,62210,67473,-37807,58.08
2021-04,East,Electronics,42197,91972,-6482,68.56
2021-02,South,Clothing,79019,51792,-58724,71.45
2021-09,South,Clothing,49217,41644,-29794,72.61
2021-01,West,Furniture,34137,61862,-7611,63.59
2021-05,West,Furniture,47628,75986,-16735,70.42
2021-12,South,Furniture,46423,70680,-13399,71.39
2021-12,West,Furniture,54192,73375,-18615,71.12
2021-10,South,Electronics,79431,84596,-46580,58.05
2021-07,West,Furniture,68703,78683,-42153,60.46
2021-06,East,Food,52817,44513,-32617,67.33
2021-08,North,Electronics,69221,96507,-31441,68.92
2021-09,East,Electronics,70628,81522,-44454,57.01
2021-09,South,Food,71309,43154,-53330,62.06
2021-10,South,Clothing,41640,37283,-29920,65.24
2021-03,South,Food,74869,44900,-57227,61.44
2021-09,South,Clothing,56792,51333,-35076,71.39
2021-07,East,Furniture,44473,58744,-27190,72.53
2021-12,North,Clothing,30698,53068,-11603,57.44
2021-07,South,Food,25482,37212,-5252,72.84
2021-10,East,Electronics,49845,88536,-12735,68.98
2021-02,West,Food,46159,36965,-31839,68.86
2021-07,South,Furniture,63770,65483,-39691,69.1
2021-09,West,Furniture,48091,63138,-17462,71.56
2021-09,South,Furniture,53265,66494,-32293,73.15
2021-04,South,Food,56486,43170,-41256,68.55
2021-03,East,Furniture,42264,71833,-14638,77.51
2021-04,North,Clothing,45535,50285,-27140,69.2
2021-11,East,Furniture,40194,69619,-14882,60.14
2021-07,East,Electronics,78031,94947,-38622,60.36
2021-04,West,Furniture,53561,75073,-25948,61.19
2021-07,East,Clothing,30200,38977,-15844,62.93
2021-06,East,Food,37827,35172,-21209,63.85
2021-08,East,Electronics,43257,89541,-10534,63.57
2021-12,North,Food,56160,45646,-36191,68.51
2021-01,West,Clothing,54696,43749,-34116,66.06
2021-12,South,Food,56465,36087,-41740,66.08
2021-09,South,Clothing,30283,40820,-16947,65.24
2021-05,West,Clothing,84819,56229,-59727,65.78
2021-11,West,Clothing,64492,57963,-49267,64.52
2021-07,East,Furniture,49451,68574,-17530,72.18
2021-12,West,Clothing,42029,46381,-29026,65.28
2021-06,East,Furniture,31372,65912,-3551,66.37
2021-09,East,Furniture,70426,66236,-47566,66.15
2021-03,South,Food,63344,42730,-46836,72.04
2021-12,West,Food,33766,31010,-22577,75.19
2021-04,South,Clothing,40691,51112,-19260,76.44
2021-10,West,Food,32437,41747,-16554,64.08
2021-08,South,Electronics,61622,82754,-26265,71.2
2021-06,East,Food,66407,44656,-47493,63.7
2021-04,East,Clothing,43067,56065,-19129,67.54
2021-05,South,Food,37749,34672,-19045,66.27
2021-06,East,Food,29080,36199,-15095,60.73
2021-04,North,Clothing,61736,58599,-41371,68.45
2021-04,South,Furniture,65659,63015,-39954,70.84
2021-08,South,Food,32449,25765,-19509,68.0
2021-10,West,Furniture,45421,53685,-19441,79.17
2021-10,East,Food,52640,35891,-39614,72.25
2021-10,North,Furniture,63853,72893,-38366,68.01
2021-08,West,Food,37285,36371,-23327,72.96
2021-04,South,Food,38250,34431,-24581,68.12
2021-11,North,Furniture,17397,72735,11582,68.58
2021-03,North,Clothing,32625,49199,-16297,67.94
2021-04,East,Food,49731,33850,-34357,69.78
2021-10,South,Electronics,72352,84834,-38653,65.34
2021-11,West,Food,35053,36176,-20765,74.27
2021-12,North,Electronics,41877,95254,-4555,60.61
2021-08,South,Electronics,42454,80383,-8399,65.22
2021-08,East,Electronics,40297,80870,-5830,69.81
2021-06,South,Furniture,60779,68427,-34674,69.9
2021-02,East,Food,35634,40220,-17944,67.16
2021-03,South,Clothing,40384,46476,-20413,62.0
2021-03,West,Furniture,68990,80319,-35023,73.83
2021-09,South,Furniture,56435,60098,-31148,69.83
2021-02,West,Clothing,34854,50149,-19777,69.61
2021-06,East,Food,57709,41789,-43784,67.72
2021-09,North,Clothing,47018,48382,-30327,64.84
2021-05,North,Clothing,53584,59362,-32420,61.78
2021-01,West,Furniture,35711,76672,-4608,64.22
2021-12,South,Electronics,45594,81471,-14289,67.78
2021-03,South,Food,48628,31545,-33424,66.67
2021-06,South,Furniture,51675,60477,-28051,58.59
2021-06,North,Food,47371,48598,-28899,70.29
2021-01,East,Furniture,43857,63377,-19997,71.77
2021-09,East,Clothing,65375,44088,-42786,63.73
2021-02,East,Food,49374,33664,-33013,71.92
2021-02,North,Furniture,25269,69755,-588,70.4
2021-01,East,Food,55321,35782,-40249,69.51
2021-04,West,Electronics,34177,88104,1273,65.5
2021-09,West,Electronics,63239,83661,-35147,61.99
2021-12,North,Food,65547,42277,-49579,58.3
2021-09,South,Food,52371,34104,-37649,63.49
2021-05,East,Food,60074,54763,-41551,74.39
2021-05,East,Food,72817,41847,-52725,74.02
2021-01,West,Furniture,59165,74307,-34448,81.28
2021-10,North,Clothing,35781,51724,-17816,73.57
2021-04,South,Furniture,64537,80316,-35009,58.55
2021-08,East,Electronics,57813,98073,-21010,63.24
2021-04,North,Electronics,56248,109230,-17183,75.11
2021-03,North,Furniture,43193,73420,-13915,73.13
2021-02,East,Electronics,59404,94941,-21814,69.59
2021-02,South,Furniture,58164,63838,-29828,66.85
2021-03,East,Electronics,62194,99119,-25505,61.01
2021-02,North,Clothing,67642,60510,-47899,68.69
2021-05,West,Food,32160,30982,-23451,67.16
2021-03,West,Electronics,65643,92493,-28383,61.75
2021-06,North,Furniture,58960,68245,-26184,59.38
2021-06,North,Food,62078,44605,-50560,64.02
2021-06,South,Furniture,76974,77340,-43482,60.1
2021-03,North,Food,42451,39883,-27873,61.1
2021-12,South,Food,55873,33165,-39919,69.89
2021-06,North,Food,65609,47817,-47569,61.07
2021-08,South,Clothing,37878,38503,-20383,69.88
2021-08,East,Electronics,66332,93328,-28549,71.63
2021-12,West,Furniture,25247,64142,3452,70.62
2021-07,South,Electronics,27683,75194,-304,66.13
2021-02,West,Clothing,63451,49412,-44251,59.8
2021-07,East,Furniture,78958,79228,-47626,65.67
2021-08,South,Clothing,43874,48565,-23467,65.98
2021-03,East,Food,59802,43168,-43543,72.32
2021-12,South,Furniture,68220,61100,-49928,68.53
2021-04,West,Electronics,44444,88458,-8268,80.71
2021-02,East,Food,48644,39169,-27417,70.74
2021-10,North,Furniture,52690,74615,-20921,62.98
2021-06,East,Food,46223,40543,-30363,64.62
2021-10,South,Food,50308,36038,-34708,65.92
2021-10,West,Clothing,59610,53200,-43316,64.64
2021-03,North,Furniture,50023,72995,-16195,62.31
2021-01,North,Clothing,49489,47020,-34367,55.51
2021-12,East,Furniture,50534,72590,-24316,70.05
2021-10,East,Clothing,49868,51753,-32742,65.29
2021-12,North,Electronics,44483,95986,-5830,72.67
2021-02,East,Furniture,25292,66694,5278,66.4
2021-10,West,Electronics,39584,86337,1046,86.66
2021-11,North,Furniture,43601,63322,-21328,66.45
2021-01,North,Furniture,63634,81576,-32366,65.52
2021-07,East,Electronics,72061,96212,-37219,72.39
2021-01,East,Clothing,48499,51529,-27826,68.16
2021-11,South,Electronics,43769,73687,-12765,59.96
2021-05,East,Electronics,19645,88862,18344,66.14
2021-09,North,Furniture,61772,75250,-32597,63.35
2021-05,North,Clothing,40670,59205,-18448,85.68
2021-04,South,Food,82841,47932,-60037,65.53
2021-04,South,Clothing,68034,46848,-52358,60.94
2021-09,North,Electronics,74092,100253,-38091,69.71
2021-09,South,Food,41125,32490,-25900,68.34
2021-12,North,Electronics,33633,89855,2579,70.52
2021-12,East,Food,38165,37985,-25939,69.19
2021-08,North,Clothing,38762,47686,-21582,64.42
2021-01,South,Electronics,54339,89294,-14490,71.28
2021-04,East,Furniture,49787,73517,-19432,73.17
2021-09,North,Food,36484,36938,-24574,60.03
2021-08,North,Food,63612,49457,-41953,63.8
2021-08,South,Food,44985,28325,-35846,70.37
2021-11,South,Food,44188,36036,-30963,64.0
2021-02,West,Food,50000,36419,-34518,68.94
2021-09,North,Furniture,53591,64388,-25513,54.33
2021-05,East,Electronics,52956,93162,-12473,70.24
2021-08,South,Furniture,58872,62642,-36107,73.51
2021-01,East,Clothing,37925,40407,-21941,67.23
2021-12,West,Electronics,33458,81220,-5156,73.79
2021-05,South,Furniture,38565,67063,-5505,71.42
2021-10,East,Electronics,53919,74352,-21330,72.66
2021-01,North,Clothing,38692,50449,-17916,69.8
2021-11,East,Furniture,41605,70750,-10256,63.73
2021-07,North,Clothing,34162,46608,-13336,68.51
2021-05,East,Food,55501,48074,-35650,68.46
2021-03,North,Electronics,77028,96580,-36420,67.8
2021-05,North,Electronics,19511,97249,19509,79.86
2021-07,East,Furniture,39159,67336,-13881,68.74
2021-04,South,Clothing,39188,51637,-19102,76.52
2021-11,North,Electronics,57431,94162,-19534,71.24
2021-04,West,Food,45637,37514,-31998,57.42
2021-08,East,Food,34493,43256,-16010,67.63
2021-09,West,Clothing,52678,46201,-32904,70.33
2021-06,North,Clothing,27870,47119,-7501,56.49
2021-01,North,Furniture,31230,64264,-2990,69.74
2021-09,East,Clothing,14485,42912,1569,64.79
2021-06,West,Food,39931,42440,-26389,67.38
2021-12,North,Food,32196,32820,-17633,73.14
2021-05,West,Electronics,28436,79125,1305,65.59
2021-08,South,Food,56077,38146,-43166,68.01
2021-11,East,Food,61436,39887,-49650,67.32
2021-11,North,Electronics,61759,99454,-26538,70.31
2021-05,East,Furniture,33819,64048,-8780,65.16
2021-02,West,Clothing,37405,50044,-19232,64.94
2021-12,East,Electronics,62067,98363,-20806,73.49
2021-04,West,Electronics,24880,86666,13037,70.53
2021-04,West,Furniture,51016,73878,-21771,72.63
2021-10,South,Clothing,70147,47741,-46539,62.32
2021-03,East,Clothing,66006,63873,-35843,60.41
2021-06,West,Clothing,50926,51632,-34922,69.81
2021-03,East,Electronics,41389,83517,-10119,69.63
2021-04,East,Food,64148,45826,-48655,58.44
2021-06,East,Food,78769,42572,-64329,67.29
2021-11,East,Electronics,36608,82879,-1631,64.74
2021-12,North,Food,39143,43327,-21438,81.29
2021-08,West,Furniture,56825,56498,-30610,65.94
2021-03,East,Food,40901,41814,-23503,69.5
2021-08,North,Electronics,53669,92067,-23310,66.79
2021-02,North,Food,71337,49183,-50984,59.09
2021-07,South,Furniture,17272,56693,6563,78.3
2021-11,South,Food,57616,44796,-36398,72.37
2021-06,East,Food,45578,38622,-27053,62.56
2021-01,South,Furniture,55552,60034,-30404,66.55
2021-12,North,Clothing,77949,69601,-54151,66.57
2021-01,West,Furniture,36228,61927,-8258,66.16
2021-11,East,Food,25867,34416,-12366,70.23
2021-04,South,Clothing,55106,60300,-32304,72.46
2021-11,West,Clothing,66044,45627,-47026,62.91
2021-02,North,Electronics,40203,100126,-2516,75.28
2021-11,South,Electronics,27110,75313,2085,72.9
2021-10,East,Furniture,51082,68933,-22632,75.52
2021-10,South,Furniture,52276,66087,-31862,68.69
2021-07,East,Furniture,26485,62310,1280,63.49
2021-07,East,Food,61832,47569,-49597,76.45
2021-08,South,Furniture,49959,62275,-29950,59.31
2021-09,East,Electronics,28814,87116,3790,68.62
2021-09,East,Furniture,50240,62378,-26629,79.37
2021-08,East,Clothing,58428,45322,-38692,74.29
2021-01,West,Electronics,10546,75549,18153,78.99
2021-09,East,Clothing,43638,46276,-22095,73.39
2021-07,South,Food,82362,47639,-60072,64.03
2021-09,East,Furniture,70881,65599,-43549,62.41
2021-10,East,Electronics,59284,87940,-21340,61.93
2021-09,East,Clothing,70564,55689,-49861,68.26
2021-04,West,Electronics,25225,76657,6915,73.14
2021-07,East,Clothing,76382,57640,-48687,62.09
2021-02,North,Electronics,46390,103128,-2789,68.69
2021-08,South,Clothing,65165,42149,-49644,64.33
2021-05,South,Food,50942,37869,-38426,68.28
2021-10,West,Clothing,55505,34487,-43984,68.12
2021-03,North,Clothing,57262,60364,-38081,76.65
2021-01,South,Electronics,59221,82658,-22542,67.41
2021-09,North,Clothing,59739,44579,-38724,56.86
2021-03,South,Clothing,74755,69013,-46833,61.81
2021-08,West,Furniture,57606,64874,-35155,68.22
2021-09,South,Clothing,70866,48184,-55098,74.44
2021-05,West,Furniture,47041,63988,-17370,68.09
2021-05,West,Electronics,58943,85398,-30009,67.36
2021-02,East,Clothing,55945,47262,-37371,65.01
2021-08,North,Food,62715,50218,-40247,67.45
2021-07,West,Electronics,49403,76263,-13673,69.52
2021-10,North,Food,23137,28172,-14912,67.72
2021-05,South,Furniture,22704,55530,-3539,66.65
2021-02,North,Furniture,17773,68949,6967,73.86
2021-06,East,Food,84249,50509,-64216,65.28
2021-10,South,Food,55896,36002,-48276,61.42
2021-08,South,Food,77916,40027,-60537,63.46
2021-12,East,Electronics,80002,98717,-38508,64.58
2021-02,North,Food,57596,40328,-37878,78.31
2021-04,North,Clothing,39140,56171,-18177,66.04
2021-06,South,Electronics,50555,87945,-14884,72.97
2021-08,South,Furniture,41001,67029,-15821,65.99
2021-04,East,Food,63116,48515,-37650,64.91
2021-07,North,Furniture,54005,70486,-22605,66.67
2021-07,North,Clothing,61310,51652,-42677,64.45
2021-08,North,Food,38542,45926,-25994,63.01
2021-10,East,Furniture,66125,61668,-40887,64.72
2021-02,East,Clothing,56462,47104,-29858,59.3
2021-10,South,Food,35327,31531,-25465,61.58
2021-07,West,Clothing,37973,45068,-20010,73.22
2021-01,West,Food,21914,32576,-1756,74.13
2021-04,South,Clothing,32509,42376,-22154,75.78
2021-09,South,Furniture,50307,61958,-24432,71.7
2021-05,West,Electronics,33933,91605,2189,67.0
2021-02,South,Food,45250,30777,-34694,58.06
2021-05,West,Food,33874,32820,-19187,68.84
2021-06,North,Electronics,36414,101463,1049,69.01
2021-01,North,Furniture,52427,68689,-22034,69.29
2021-04,North,Food,73241,42395,-57265,59.59
2021-11,North,Electronics,42059,97153,-5699,65.79
2021-02,East,Electronics,71623,97260,-33086,59.6
2021-05,East,Furniture,52394,64774,-21659,69.63
2021-05,North,Electronics,45079,111475,-1731,70.98
2021-05,South,Food,32823,35893,-24622,70.47
2021-01,North,Furniture,53440,74819,-25216,64.56
2021-01,South,Clothing,72175,51827,-49446,72.57
2021-11,East,Clothing,67951,56751,-43995,58.7
2021-09,West,Food,49057,31415,-33933,67.57
2021-12,East,Electronics,59956,98015,-17332,68.3
2021-12,West,Furniture,63462,66085,-34926,64.93
2021-05,South,Clothing,50411,44963,-33887,63.06
2021-07,North,Furniture,37623,72393,-11312,71.79
2021-10,West,Food,36736,35944,-23790,69.12
2021-12,West,Food,47203,33840,-33461,71.6
2021-04,North,Furniture,59504,93863,-24011,78.06
2021-04,South,Furniture,39654,64139,-11537,62.67
2021-03,North,Food,67545,47297,-51571,67.28
2021-02,North,Food,39565,47386,-23811,71.87
2021-11,East,Electronics,34616,76744,-1390,68.75
2021-03,South,Clothing,27044,46199,-8179,68.46
2021-02,West,Electronics,50574,87936,-13124,62.8
2021-12,North,Furniture,45139,68543,-11509,72.18
2021-04,East,Clothing,52630,51170,-30788,70.96
2021-05,West,Electronics,81903,87300,-45793,71.07
2021-11,North,Clothing,72189,58490,-50662,59.31
2021-02,North,Electronics,46339,100083,-6693,60.45
2021-02,South,Furniture,48518,65588,-19548,66.77
2021-01,North,Food,38934,38616,-22796,70.87
2021-08,West,Clothing,50312,49280,-29719,63.58
2021-09,West,Furniture,42810,59393,-22457,63.86
2021-11,East,Furniture,45760,70101,-24516,73.73
2021-05,North,Food,36582,35449,-19629,73.03
2021-04,West,Food,40567,40065,-24046,71.53
2021-06,South,Food,39898,33501,-30331,64.4
2021-07,West,Clothing,64811,49602,-42115,72.39
2021-04,North,Food,53595,47724,-33499,70.25
2021-03,North,Clothing,51106,54484,-28186,62.77
2021-10,South,Food,60384,43071,-45060,65.61
2021-09,North,Electronics,61910,90578,-24603,63.32
